,states,fsmt,chc
0,18,0.013103550300002098,0.015430870279669762
1,20,0.008414961025118827,0.01568105216138065
2,24,0.014855347014963627,0.013777191285043955
3,36,0.01892327326349914,0.03107477189041674
4,70,0.03225400252267718,0.06354902903549373
5,72,0.051061634859070185,0.07030440466478467
