,states,fsm_safety-sat,fsm_safety-unsat,ric3_safety-sat,ric3_safety-unsat,avr_safety-sat,avr_safety-unsat
0,18,0.007110497681424022,0.009353609615936875,0.021960126515477896,0.023432753002271055,0.06863137348555029,0.0855478917248547
1,20,0.007298920908942819,0.008925665356218814,0.023479548981413245,0.02414694889448583,0.06905122669413685,0.08667894825339317
2,24,0.012888138368725776,0.02284742295742035,0.026179741183295847,0.027089996542781592,0.06819249573163688,0.09082146915607155
3,36,0.01630306043662131,0.014682705095037819,0.02782152988947928,0.02831510533578694,0.07020057737827301,0.0994345508981496
4,70,0.029449215065687893,0.023536415584385396,0.034482800774276255,0.034439139906316994,0.08574363007210195,0.1095453783404082
5,72,0.036201044311746956,0.033965060906484726,0.032983261672779915,0.03589521124958992,0.08591380077414215,0.12655255976133048
