,states,fsm_safety-sat,fsm_safety-unsat,ric3_safety-sat,ric3_safety-unsat,avr_safety-sat,avr_safety-unsat
0,10,0.004626448359340429,0.005528609408065677,0.028055208129808308,0.02265191450715065,0.15574070820584893,0.07696321834810078
1,20,0.005928268563002348,0.006504653906449676,0.044744035601615904,0.02390425489284098,1.3635698101948948,0.1191348752938211
2,30,0.006282555824145675,0.006416704971343279,0.06407489152625204,0.02472127047367394,8.55085879242979,0.22065126448869704
3,40,0.007118193060159683,0.00656238840892911,0.08428805880248547,0.026625743601471186,34.68624401865527,0.41278517809696497
4,50,0.006294999876990915,0.007010094448924064,0.10947839636355639,0.029683662485331296,114.1856912846677,0.7274295663461089
5,60,0.008697809325531125,0.0076845737639814615,0.11617119112052024,0.029317312827333807,300.0025387543719,1.2544765305705368
6,70,0.00601815702393651,0.006250446662306786,0.1343880830798298,0.03781622820533812,300.0025291707367,2.1061703163199126
7,80,0.00820807539857924,0.006848013680428267,0.14413253124803305,0.03893148354254663,300.0024796341546,3.1844686300028116
8,90,0.00732361557893455,0.00780279953032732,0.14900472816079854,0.04729350255802274,300.0024048484862,4.830007877899334
9,100,0.007662098901346326,0.007888477155938744,0.16770384893752635,0.042113175988197325,300.0025360731408,6.972126285871491
