,states,fsm_safety-sat,fsm_safety-unsat,ric3_safety-sat,ric3_safety-unsat,avr_safety-sat,avr_safety-unsat
0,10,0.004759463435038924,0.00569968307390809,0.02743788165971637,0.023384084925055504,0.1757439593784511,0.08642526706680656
1,20,0.006152773415669799,0.006972532952204347,0.057615052256733176,0.023963176738470794,1.6156392762437464,0.16663512806408107
2,30,0.00660207886248827,0.0072710799053311344,0.11530618825927377,0.024826830346137287,9.569342481251805,0.3563633771147579
3,40,0.006609846139326692,0.006975167337805033,0.14500493337400258,0.028160552214831113,40.285964254569265,0.761016327701509
4,50,0.007192904176190495,0.007049454282969237,0.1908507608808577,0.030028388556092977,140.65442070099525,1.485338773019612
5,60,0.007333099702373147,0.008670747745782137,0.21901461966335772,0.03258968885056675,300.0024083753582,2.55510612828657
6,70,0.007398503459990024,0.007450856501236558,0.3402035778388381,0.03850462175905704,300.00238726860846,4.457155055971816
7,80,0.007698887865990401,0.007981749065220357,0.37308441242203116,0.04574352037161589,300.00247959904374,7.828786609787494
8,90,0.007738608866930008,0.00785709717310965,0.39815547154285014,0.049702369049191474,300.00246725026517,10.829291294515134
9,100,0.009121739631518721,0.010012786788865923,0.4263326650485396,0.05007908623665571,300.00250100009146,15.479879414476454
